ID,Lifetime,Period,Optimal Health,Optimal Cash on Hand,Remaining Max,Optimal Earnings This Period,Realized Health,Realized Cash on Hand,Current LE,Earned This Period,Remaining Available,% Loss,Accumulated Loss
2500,1,1,87,0,2061,46.9,85,0,1320,171,2054,-0.003,-0.003
2500,1,2,87,0,1900,46.9,85,0,1149,154,1771,-0.063,-0.066
2500,1,3,84,0,1618,35.6,82,0,995,153,1402,-0.104,-0.171
2500,1,4,78,0,1276,63.5,78,0,842,126,1134,-0.069,-0.240
2500,1,5,73,0,996,43.4,73,0,716,138,963,-0.016,-0.256
2500,1,6,69,0,851,60.3,70,0,578,112,802,-0.024,-0.279
2500,1,7,61,0,667,92.6,64,0,466,135,627,-0.020,-0.299
2500,1,8,52,0,513,103.3,58,0,331,114,488,-0.012,-0.311
2500,1,9,43,3,410,109.8,52,0,217,78,381,-0.014,-0.325
2500,1,10,34,4,299,95.2,44,0,139,82,239,-0.029,-0.354
2500,1,11,26,3,203,81.4,36,0,57,36,135,-0.033,-0.387
2500,1,12,16,2,114,62.2,27,0,21,21,48,-0.032,-0.419
2500,1,13,7,0,48,48.3,18,0,0,0,0,-0.023,-0.443
2500,1,14,-4,10,0,0,7,7,0,0,0,0.000,-0.443
2500,1,15,-11,7,0,0,0,7,0,0,0,0.000,-0.443
2500,1,16,-12,7,0,0,0,7,0,0,0,0.000,-0.443
2500,1,17,-12,7,0,0,0,7,0,0,0,0.000,-0.443
2500,1,18,-12,7,0,0,0,7,0,0,0,0.000,-0.443
2500,2,1,87,0,2061,46.9,85,0,1257,182,2047,-0.007,-0.007
2500,2,2,87,0,1900,46.9,85,0,1075,147,1443,-0.222,-0.229
2500,2,3,78,0,1331,54.3,77,0,928,112,1242,-0.043,-0.272
2500,2,4,75,0,1139,53.4,75,0,816,103,1107,-0.015,-0.287
2500,2,5,73,0,996,43.4,73,0,713,111,945,-0.025,-0.312
2500,2,6,68,0,827,59.9,69,0,602,118,776,-0.024,-0.337
2500,2,7,61,0,667,92.6,64,0,484,109,622,-0.022,-0.359
2500,2,8,55,0,533,76.7,59,0,375,89,496,-0.018,-0.377
2500,2,9,44,5,433,114.3,54,0,286,63,391,-0.020,-0.397
2500,2,10,36,4,320,100.6,46,0,223,71,294,-0.012,-0.409
2500,2,11,34,0,228,47.8,40,0,152,66,207,-0.010,-0.420
2500,2,12,23,1,162,65.9,33,0,86,45,132,-0.014,-0.434
2500,2,13,12,2,91,50.6,23,0,41,41,30,-0.029,-0.464
